titles,link,article,time,media
選戰飯湯 搶搶滾,https://news.ltn.com.tw/news/local/paper/552433,"享飯湯的畫面也可以在造勢晚會上看到，國民黨日前在新園鄉五房村發起挺馬吳後援會，拚連任的總統馬英九也一起和支持者共用飯湯，藉飯湯展現親民。
蘇震清也在內埔舉辦客家之夜提供飯湯，蔡英文與蘇嘉全同台現身，選...",<generator object <genexpr> at 0x118942750>,Liberal Times
假！,https://news.ltn.com.tw/news/opinion/paper/552417,"見仁見智，常在網路引發討論。
把這個觀念推廣，台灣人民在大選投票前一星期，對於尋求連任的馬英九的施政表現，多數人應該已經形成判斷，自可選擇一個字來表現。我們認為，「假」是足以如實反映馬英九執政...",<generator object <genexpr> at 0x1189427c8>,Liberal Times
假日衝票 藍綠明拚場,https://news.ltn.com.tw/news/local/paper/552408,"期，民進黨總統候選人蔡英文八日晚上在台北市進行「公平正義，撲滿台灣」晚會，國民黨總統候選人馬英九當天也在台北市舉辦「為台灣讚出來」遊行，兩陣營卯足勁拚場，都以勝選為目標。
綠營辦晚會 藍營大遊行
蔡...",<generator object <genexpr> at 0x118942840>,Liberal Times
九二共識 雙英再駁火,https://news.ltn.com.tw/news/focus/paper/552397,"蔡：台灣若被迫接受 社會將起紛擾
〔記者顏若瑾、蘇永耀、羅添斌／台北報導〕蔡英文及馬英九昨在電視政見會中，再度就兩岸議題交鋒。對於部分企業負責人近來接連表態支持「九二共識」，蔡表示，如果台灣是在中國壓...",<generator object <genexpr> at 0x1189428b8>,Liberal Times
宋也提「馬友友們」 諷藍也曾批綠貪腐,https://news.ltn.com.tw/news/focus/paper/552396,"強調蔡質疑 對馬是很嚴重指控
〔記者曾鴻儒／台北報導〕蔡英文昨在公辦政見會中，質疑馬英九與政府團隊清廉問題；宋楚瑜也加入戰局，強調「馬友友」等特權質疑，是很嚴重的指控，他並提醒馬英九，過去國民...",<generator object <genexpr> at 0x118942930>,Liberal Times
馬駁制度性貪污 批綠執政才不中立,https://news.ltn.com.tw/news/focus/paper/552395,"指蔡談清廉 為何宇昌案說不清
〔記者羅添斌／台北報導〕馬英九昨在電視政見發表會中，強調自己從台北市長任內即堅持行政中立，絕無制度性貪污問題，反批綠營執政才是真正的行政不中立，並質疑對手蔡英文說要禁止家...",<generator object <genexpr> at 0x1189429a8>,Liberal Times
宋譏馬一週廣告費 可買百萬條泳褲,https://news.ltn.com.tw/news/focus/paper/552393,"的廣告；同期，民進黨則有一千九百十七檔電視廣告，花七千五百多萬元。他揶揄聲稱連游泳褲都補的馬英九說，藍營去年底一週的廣告費「可買一百萬條游泳褲！」同時也虧了一下蔡英文，說「錢都是從小豬來的」。
蔡英文...",<generator object <genexpr> at 0x118942a20>,Liberal Times
蔡宋同聲批馬：執政失敗,https://news.ltn.com.tw/news/focus/paper/552392,〔記者蘇永耀、曾鴻儒／台北報導〕蔡英文、宋楚瑜昨晚在政見會中，分別質疑馬英九的施政能力，都要人民想想「過去四年，你過得好不好？」蔡直指馬「執政失敗」，不是只有在野黨批評，而是人民多數共識。宋也說，馬真的...,<generator object <genexpr> at 0x118942a98>,Liberal Times
馬承諾明年起公布國民幸福指數,https://news.ltn.com.tw/news/focus/paper/552390,"提出多項教育利多 協助弱勢學生
〔記者羅添斌／台北報導〕馬英九昨天在電視政見發表會上承諾，要以一年時間準備，明年起每年公布「國民幸福指數」，包括健康環境、平均壽命、育嬰指數等。公布這些對執政會有壓力，...",<generator object <genexpr> at 0x118942b10>,Liberal Times
台灣政治文化 亟須重建,https://news.ltn.com.tw/news/focus/paper/552389,"期達到顛峰，二○○八年，國民黨二次上台，不少人以為完全執政可以有助於結束征戰休養生息，不料馬英九採取贏者全拿、堅壁清野的態度，殲滅一切在野意見，台灣終至分裂。
現在的台灣政治，幾乎已經完全喪失了透過協...",<generator object <genexpr> at 0x118942b88>,Liberal Times
「不會贏者全拿」蔡倡大聯合政府,https://news.ltn.com.tw/news/focus/paper/552388,"權力，尊重民主與社會多元意見，也才能維持台灣政局的穩定。
馬嗆選舉語言 不是好的建議
馬英九在會後記者會明確表達不認同，指民進黨八年少數執政時，為何都不提？兩千年陳水扁當選總統不久時，也曾提類似看法...",<generator object <genexpr> at 0x118942c00>,Liberal Times
〈冷眼冷語〉「拒搭長榮」共識,https://news.ltn.com.tw/news/opinion/paper/552386,"向中國高層示好外，也企圖以商逼政，造成了台灣主權上的傷害。
各位勞工朋友深思一下，您覺得馬英九領導下，這三年半的生活有沒有過得比以前好；生活有沒有被壓得喘不過氣來。請您在元月十四日投下神聖的一票，終結...",<generator object <genexpr> at 0x118942c78>,Liberal Times
馬上終統 馬上清算軍公教,https://news.ltn.com.tw/news/opinion/paper/552383,"的中心思想。現在的軍公教若還是不分青紅皂白的支持國民黨，我則無法理解。
為何？因為現在的馬英九正準備向中國投降，完成他的祖國統一大夢。到時他絕對是中共建政史上的第一功臣，名留中國史，然後呢？拍拍屁股走...",<generator object <genexpr> at 0x118e788b8>,Liberal Times
想到苦難同胞 爬也要爬回來投票,https://news.ltn.com.tw/news/opinion/paper/552382,"滅萬惡的共匪拯救大陸上千千萬萬的苦難同胞！
是的，這都已經是過去式了，人應該學會原諒！當馬英九說要把黨產歸零時，我願意選擇原諒！當馬英九向二二八的受難家屬致歉時，我願意選擇原諒！當馬英九...",<generator object <genexpr> at 0x118e78930>,Liberal Times
國民黨擬接送投票 民進黨：觸法,https://news.ltn.com.tw/news/focus/paper/552377,"組織性的大規模舞弊及違法問題。
獎勵投票 綠：期約賄選
根據民進黨出示的「新竹縣芎林鄉馬英九徐欣瑩聯合競選服務處第五次輔選會議」文件，其中提到芎林鄉的獎勵辦法，設定投票率達七十五％以上，本黨（指國民...",<generator object <genexpr> at 0x118e789a8>,Liberal Times
政見會最終回// 蔡馬攻防政商關係 宋談民生,https://news.ltn.com.tw/news/focus/paper/552376,"
〔記者施曉光／台北報導〕中選會最後一場總統候選人公辦政見發表會昨晚落幕，國民黨總統候選人馬英九和民進黨總統候選人蔡英文在政商關係、兩岸與清廉問題上激烈攻防，蔡英文還宣示未來要納入不同政黨人才，籌組符合...",<generator object <genexpr> at 0x118e78a20>,Liberal Times
「我要好總統」評比 蔡最受肯定,https://news.ltn.com.tw/news/politics/paper/552368,"總統候選人提問。反貧困聯盟召集人簡錫堦昨表示，綜合評比，蔡英文的表現最受肯定，宋楚瑜次之，馬英九看不出對上述問題的解決方法，只是一味向財團靠攏，評價最低。
「我要好總統公民連線」昨召開記者會發起「牽牛...",<generator object <genexpr> at 0x118e78a98>,Liberal Times
台聯凱道辦桌／人民顧飯碗 嗆馬633跳票,https://news.ltn.com.tw/news/politics/paper/552367,〔記者曾韋禎／台北報導〕為抗議馬英九政府六三三政策跳票，台聯昨在總統府前凱達格蘭大道舉行「吞六三三跳票大餐」，席開三百桌，呼籲支持者用選票換掉這個跳票政府。現場還設計鐵製環保餐具，象徵「鐵飯碗」，藉以凸...,<generator object <genexpr> at 0x118e78b10>,Liberal Times
超級週衝票／馬吳配固守雙北 明四縣市大遊行,https://news.ltn.com.tw/news/politics/paper/552365,〔記者王寓中、彭顯鈞／台北報導〕選前最後一週，國民黨總統候選人馬英九陣營在縝密評估選情後，特別調整馬英九最後五天的掃街拜票行程，除了新竹縣市、苗栗、宜蘭、基隆，馬將全力固守雙北市，而新北市更是重...,<generator object <genexpr> at 0x118e78b88>,Liberal Times
子弟兵選邊站 宋怨選舉沒有人味,https://news.ltn.com.tw/news/politics/paper/552362,"宋那麼多年，「他也沒有把我丟掉」。
前年五都選舉，宋楚瑜力挺的前高雄縣長楊秋興，這次投效馬英九，當年由橘轉藍的嫡系子弟兵，至今無一人公開送暖，其中最具指標意義的就是前台北縣長周錫瑋與傅崐萁，後者原還幫...",<generator object <genexpr> at 0x118e78c00>,Liberal Times
周美青拜票 遭嗆女兒是美國人,https://news.ltn.com.tw/news/politics/paper/552361,〔記者游太郎、花孟璟、張存薇／綜合報導〕馬英九總統夫人周美青前進花東縱谷掃街拜票，沿台九線在花蓮縣鳳林鎮、光復鄉、玉里鎮以及台東市掃街，由於周美青事先未聲張，她突然出現在鄉里，引起支持者開心驚呼：「總統...,<generator object <genexpr> at 0x118e78c78>,Liberal Times
綠批台電動員200人遊行挺馬,https://news.ltn.com.tw/news/politics/paper/552360,"爆料將動員二百人參與這場選舉造勢遊行；台電工會理事長胡國康甚至發公開信呼籲所有員工，應支持馬英九團隊。
立法院民進黨團幹事長蔡煌瑯痛批，壹週刊爆料國民黨將動員八部會四千名公務員參與遊行時，國民黨、馬政...",<generator object <genexpr> at 0x118e78cf0>,Liberal Times
馬南投掃街民眾相挺,https://news.ltn.com.tw/news/politics/paper/552359,"〔記者陳鳳麗、林明宏／南投報導〕國民黨總統候選人馬英九昨日在南投縣草屯市場拜票，與民進黨立委候選人張國鑫狹路相逢，張國鑫高喊「一號尚好」、「請馬總統投一號」，馬英九則比出二號的手勢回應。
...",<generator object <genexpr> at 0x118e78d68>,Liberal Times
藍海外助選團 為林建榮拉票,https://news.ltn.com.tw/news/local/paper/552333,〔記者游明金／宜蘭報導〕國民黨海外助選團昨到宜蘭助選，為總統候選人馬英九與立委候選人林建榮拉票。另，林建榮競選總部今天下午將辦造勢活動，立法院長王金平、名嘴李勝峰將到場開講，總部歡迎支持者「情義相挺」。...,<generator object <genexpr> at 0x118e78de0>,Liberal Times
基隆文化中心 名家揮毫贈春聯,https://news.ltn.com.tw/news/local/paper/552331,"隆醫院一樓中庭，民眾可以將希望懸掛的春聯告訴現場揮毫的書法家，由書法名家代筆。
國民黨「馬英九、吳敦義、謝國樑」總部提供春聯供民眾索取，春聯上落款署名為馬英九吳敦義；民進黨「蔡英文、林右昌」競...",<generator object <genexpr> at 0x118e78e58>,Liberal Times
狗掛牌「馬凍蒜」 反諷馬英九,https://news.ltn.com.tw/news/local/paper/552302,國民黨總統候選人馬英九曾說「當家三年，連狗也嫌」，六日抵達以「借發財金」聞名全國的南投縣竹山鎮社寮里紫南宮時，赫見綠營人士捨昔日直接嗆聲模式，將「馬英九凍蒜」牌子直接綁在狗身上，反諷馬英九...,<generator object <genexpr> at 0x118e78ed0>,Liberal Times
觀光政見戰》賴燕雪、林明溱 文宣交鋒,https://news.ltn.com.tw/news/local/paper/552301,」再變成「跳票立委」，上述所提的建設迄今沒有一件完工，南投、竹山闢建第二條交流工程，更是從馬英九首次參選總統時就已提出，如今再冷飯熱炒，說穿了還不是為了選票，但相信選民絕不會再次上當，也一定會用手中選票...,<generator object <genexpr> at 0x118e78f48>,Liberal Times
下一站，幸福／文化界挺蔡「非核家園」,https://news.ltn.com.tw/news/local/paper/552299,"不可信賴，因此他們支持蔡英文的非核家園，未來蔡英文當選也會全面監督是否落實。
江自得說，馬英九身邊都是財閥，以賺錢為目的，才不管土地及環境的傷害，從六輕多次爆炸案可以看出財團的態度，而更恐怖的核能，目...",<generator object <genexpr> at 0x118e28048>,Liberal Times
選前總動員 馬吳今掃街 英嘉9日到,https://news.ltn.com.tw/news/local/paper/552296,"統副總統合併立委選舉，選前超級星期天國、民兩黨在雲林縣都沒有大型造勢活動，國民黨總統候選人馬英九和副總統候選人吳敦義，提前在週六齊聚雲林縣。
馬、吳雲林縣競選總部表示，馬英九總統今天早上將前往...",<generator object <genexpr> at 0x118e24f48>,Liberal Times
總統大選》馬口誤連連　張花冠變「張挖貴」？,https://news.ltn.com.tw/news/politics/breakingnews/589646,"〕2012年總統大選最後一場總統候選人電視政見會今（6）日登場。首位上場的國民黨總統候選人馬英九，在第三輪似乎狀況不佳，連連口誤，還把嘉義縣長張花冠的名字唸成「張挖貴」。

　今晚登場的「第13任副...",<generator object <genexpr> at 0x118e24ed0>,Liberal Times
總統大選》宋楚瑜：將實踐七大願景,https://news.ltn.com.tw/news/politics/breakingnews/589645,"〔即時新聞／綜合報導〕總統參選人宋楚瑜在第二輪政見發表會中明確指出，馬英九與蔡英文對於兩岸如何地位與發展並無實際的說明，造成人民對蔡英文充滿「不確定」，對馬英九充滿了「不滿意」。

　宋楚瑜...",<generator object <genexpr> at 0x118e24e58>,Liberal Times
總統大選》蔡英文談清廉　提六大保證,https://news.ltn.com.tw/news/politics/breakingnews/589637,"。

批九二共識　小英：民進黨兩岸政策務實

　蔡英文第二輪政見發表時，先回應總統馬英九的兩岸政策，她說，馬英九的兩岸政策就是九二共識，九二共識代表一個中國，因為中國從來沒有承認過「一中...",<generator object <genexpr> at 0x118e24de0>,Liberal Times
總統大選》馬嚴厲批蔡　網友諷：政見會當辯論,https://news.ltn.com.tw/news/politics/breakingnews/589633,"〕2012年總統大選最後一場總統候選人電視政見會今（6）日登場。首位上場的國民黨總統候選人馬英九，在第二輪主動與民進黨總統候選人蔡英文交鋒兩岸政策，卻被網友質疑，怎麼又把政見會當成辯論會？

　今晚...",<generator object <genexpr> at 0x118e24d68>,Liberal Times
總統大選》蔡英文感性喊話　要帶台灣向前走,https://news.ltn.com.tw/news/politics/breakingnews/589626,"／綜合報導〕總統電視政見發表會最後一場今(6)日晚間登場，民進黨總統候選人蔡英文表示，總統馬英九執政3年多來，台灣沒有更進步，而是不斷倒退，若由她執政，她會秉持她所提出的十年政綱，帶領台灣向前走。
...",<generator object <genexpr> at 0x118e24cf0>,Liberal Times
總統大選》馬提學子補助政策　網友：錢從哪來,https://news.ltn.com.tw/news/politics/breakingnews/589620,"〕2012年總統大選最後一場總統候選人電視政見會今（6）日登場。首位上場的國民黨總統候選人馬英九第一輪主攻青年選票，端出高中職免學費、留學補助等多項政策利多，稱要讓台灣學子出頭天。

　今晚登場的「...",<generator object <genexpr> at 0x118e24c78>,Liberal Times
總統大選》陳萬水助選　鎖定選前之夜造勢,https://news.ltn.com.tw/news/politics/breakingnews/589553,"片，回應外界疑問，透露自己可能在選前之夜現身，與宋楚瑜同台造勢。

　國民黨總統候選人馬英九打出「夫人牌」，靠周美青拉抬選情。陳萬水表示，自己雖然不常出現在媒體面前，但是私底下都常常和民眾交流，對於...",<generator object <genexpr> at 0x118e24c00>,Liberal Times
馬競選廣告提國片票房成長　遭網友砲轟,https://news.ltn.com.tw/news/politics/breakingnews/589427,"〔即時新聞／綜合報導〕日前國民黨釋出競選廣告影片，提及馬英九政府執政3年半，讓國片票房成長431％，遭到網友砲轟，「最好是國片也可以扯政績拉，是沒其他東西拿得出來了是不是？想騙我沒那麼容易！」

　...",<generator object <genexpr> at 0x118e24b88>,Liberal Times
綠控國民黨藍鷹專案違法　質疑期約賄選,https://news.ltn.com.tw/news/politics/breakingnews/589380,文件，國民黨訂定「投票所固票方案」（藍鷹專案）固票工作具體作法，民進黨並拿出「新竹縣芎林鄉馬英九徐欣瑩聯合競選服務處第五次輔選會議」的文件，其中的議案二提到，藍鷹計劃中的投票所周邊工作人員部分取消，替代...,<generator object <genexpr> at 0x118e24b10>,Liberal Times
扁奔喪》緊抱珍與母　場面哀戚,https://news.ltn.com.tw/news/politics/breakingnews/589366,"體，並拍著扁媽的肩膀安撫情緒。扁隨後返回北監，全程歷時2小時10分鐘，民眾也高呼阿扁無罪、馬英九下台等口號。

相關新聞請見：
扁奔喪》念祭文悼岳母　強調珍絕不是愛錢之人

扁奔喪》一抵靈堂　...",<generator object <genexpr> at 0x118e24a98>,Liberal Times
《觀察筆記》商機,https://news.ltn.com.tw/news/local/paper/552225,"峽風雲緊張？國內經濟低迷？相反的，堅定主權尊嚴並未使台、中雙方火藥味起。股市高、失業率低，馬英九四年呢？股市有如上次選舉所說的高過前朝？失業率倒是超越了。
大商人們因襲舊時代的舊思維，戰後年輕世代走上...",<generator object <genexpr> at 0x118e24a20>,Liberal Times
不對稱的選舉,https://news.ltn.com.tw/news/opinion/paper/552217,開始進行情蒐，到了馬蔡對決，更大量派遣調查員監控小英。這在民主國家是不可思議的重大醜聞，但馬英九卻「裝皮皮」，一句「不知道」就想蒙混過去，這個人跟周美青口中那位「表裡如一，不會撒謊的人，偶爾言不由衷就會...,<generator object <genexpr> at 0x118e249a8>,Liberal Times
女毒蟲拒捕誤傳襲警 總統維安虛驚,https://news.ltn.com.tw/news/local/paper/552213,"前晚高市警方的無線電傳出此一通報，氣氛頓時緊繃，執勤員警無不豎起耳朵注意聽，議論說：「總統馬英九在左營、前鎮掃街拜票，竟然出現敢對警察開槍的女王蜂」。
不久，數十名穿防彈背心手持長短槍的員警湧進位於仁...",<generator object <genexpr> at 0x118e24930>,Liberal Times
《直搗澎縣府》楊曜批縣長行政不中立,https://news.ltn.com.tw/news/local/paper/552204,"〕針對澎湖縣長王乾發連日來以「請假」為名，卻密集性約見各局處員工，使用縣政府會議室，公然為馬英九、林炳坤助選，涉嫌違反行政中立，綠營立委選將楊曜昨率眾前往縣府抗議，呼籲民眾用選票終結澎湖「王」。
縣長...",<generator object <genexpr> at 0x118e651b0>,Liberal Times
總統、政黨票都要 綠議員出招,https://news.ltn.com.tw/news/local/paper/552202,"龍、陳文賢、陳特清議員指出，國民黨這次提名幾位形象清新弱勢團體代表，出任不分區立委候選人，馬英九即到處炫耀國民黨名單，但看本屆立院國民黨佔廿席不分區立委，有哪些業績值得選民讚賞，或只是扮演人質角色。
...",<generator object <genexpr> at 0x118cb4318>,Liberal Times
提高農損補助 饒慶鈴秀成果,https://news.ltn.com.tw/news/local/paper/552195,"、釋迦落果，出現罕見災情，議長饒慶鈴第一時間力邀農委會主委陳武雄到縱谷線了解災情，並向總統馬英九陳請放寬農業天然災後救助。
根據饒慶鈴競選總部統計，到去年底止，已有一七九七戶農友獲農委會核准補助、災損...",<generator object <genexpr> at 0x118cb4390>,Liberal Times
上市櫃建商 首季推案2396億,https://news.ltn.com.tw/news/business/paper/552187,"縮的市況，出現明顯大翻轉的現象。
住展指出，今年第一季上市櫃建商推案量近2400億元，較馬英九當選總統的2008年第一季推案量1600億元，多出了800億元，成長幅度達50%。
選後大幅加碼
住展...",<generator object <genexpr> at 0x118cb4408>,Liberal Times
投票要為家人想 不要為紅頂老闆想,https://news.ltn.com.tw/news/opinion/paper/552165,這次大選，有些企業經營者支持馬英九總統，他們的股票遂被股友稱為「馬友友概念股」。台灣是民主國家，國內的企業經營者，在選舉中要支持誰，那是他們的權利。不過，這次大選期間，除了有上述的「馬友友概念股」，還出...,<generator object <genexpr> at 0x118cb4480>,Liberal Times
夾攻吳育昇 緋聞轟吳 政見會火辣辣,https://news.ltn.com.tw/news/local/paper/552154,"標榜自己愛家、清廉，卻開著百萬名車載小三去開房間，滿口仁義道德，碰到美色誘惑就把持不住，而馬英九卻包庇吳育昇，還再次提名他競選連任，國民黨是沒有人才了嗎？她呼籲全國女性，女人不能夠容忍男人背叛。
何博...",<generator object <genexpr> at 0x118cb44f8>,Liberal Times
橘營外島選戰 面臨分裂投票危機,https://news.ltn.com.tw/news/focus/paper/552142,"幹部，完全沒有發展組織，加上國民黨這次全面動員，「整個行政系統動得很厲害」，評估最後結果「馬英九的票應該是大多數」。
他坦言，這次金門縣在總統、立委兩項選舉上，明顯會出現「分裂投票」，他憑藉個人經營二...",<generator object <genexpr> at 0x118cb4570>,Liberal Times
《催票總動員》藍組30萬大軍 催200萬選票回籠,https://news.ltn.com.tw/news/focus/paper/552140,"畫 全面啟動
〔記者王寓中、彭顯鈞／台北報導〕總統大選即將進入倒數一週，國民黨總統候選人馬英九陣營啟動大規模的催票、固票計畫，包括馬總部及國民黨，號稱已組成超過三十萬人的催票大軍，要號召兩百萬的選票回...",<generator object <genexpr> at 0x118cb45e8>,Liberal Times
掛馬吳廣告 台鐵：做生意賺錢 不分藍綠,https://news.ltn.com.tw/news/focus/paper/552136,"懸掛選舉廣告，昨日卻有民眾發現，台鐵豐原車站的自動售票口上方，懸掛國民黨總統、副總統候選人馬英九與吳敦義的競選廣告，綠營質疑行政不中立。
台鐵局長范植谷表示，台鐵雖是國營單位，但也是事業單位，需要增加...",<generator object <genexpr> at 0x118cb4660>,Liberal Times
涉違法情蒐 綠向監院舉發胡為真、張濟平,https://news.ltn.com.tw/news/focus/paper/552135,？根本是把情治單位當成統治者清除異己的工具，毫無行政中立可言，更涉嫌圖利國民黨的總統候選人馬英九。黃帝穎強調，這個台版水門案已經引起國際關注，監察院不該「視若無睹」，應立即進行調查。...,<generator object <genexpr> at 0x118cb46d8>,Liberal Times
大企業挺馬 黃：看出中國介入選舉之深,https://news.ltn.com.tw/news/focus/paper/552134,"〔記者蘇永耀、劉力仁／台北報導〕在中國經商的台灣大企業主最近陸續表態「支持九二共識」，力挺馬英九。台聯黨主席黃昆輝昨日召開記者會質疑，這些大台商寄人籬下，不得不低頭，由此也看出中國介入台灣選舉之深。
...",<generator object <genexpr> at 0x118cb4750>,Liberal Times
冷眼冷語,https://news.ltn.com.tw/news/opinion/paper/552130,"那一國的民主政治？某報社論批判宋楚瑜的堅選到底真是過頭了。
決心票投宋楚瑜的人，豈會不知馬英九是現任總統競選連任，但在「馬、宋」之間，選民卻寧願選擇「宋」，這就代表「馬」的政績或行事風格並不為這些選民...",<generator object <genexpr> at 0x118cb47c8>,Liberal Times
凱道633餐會,https://news.ltn.com.tw/news/opinion/paper/552129,四年前的歷史經驗。四年前，選完「明天過後」，選舉時所說的政見都不用理會。四年前高喊六三三的馬英九，四年來沒有提過任何要達成六三三的長、中、短程計劃或方案，形成有說的都沒做，沒說的做了一大堆的亂象。這種經...,<generator object <genexpr> at 0x118cb4840>,Liberal Times
那條路 你們知道,https://news.ltn.com.tw/news/opinion/paper/552127,"士全文的內容說得很有道理，但有些地方與筆者對三位候選人之政見的認知與感受不同，筆者清楚認為馬英九是要將台灣中國化並帶往中國；而蔡英文是釘根台灣，走向世界；至於宋楚瑜應是和馬英九差不多。
筆者特...",<generator object <genexpr> at 0x118cb48b8>,Liberal Times
國民年金 肉包子打狗,https://news.ltn.com.tw/news/opinion/paper/552126,，他們要是不認帳，繳出去的錢不就像肉包子打狗，有去無回。」一向挺藍的丙同學替馬政府辯護：「馬英九在公開場合一再強調『不統』，您們怕什麼？」丁同學聞言馬上回應：「馬英九說過兩百次不選台北市長，最後...,<generator object <genexpr> at 0x118cb4930>,Liberal Times
公務員 亂命不從,https://news.ltn.com.tw/news/opinion/paper/552125,"，不怕淫威大聲說「不」，「偽造文書」之嫌。
新北市中和區公所利用公帑所舉辦的國民黨為總統馬英九及立委助選活動，並公然賄選發放一百元禮券，如果當時的參加人員、公務員有警覺到收取「一百元禮券」會觸犯選罷法...",<generator object <genexpr> at 0x11887e408>,Liberal Times
終極統一 軍人失業,https://news.ltn.com.tw/news/opinion/paper/552123,"的印象裡，軍隊是國民黨的大本營，職業軍人更是國民黨的鐵票。但請問待遇不錯的軍官們，你們知道馬英九的終極統一，會給你們帶來什麼後果嗎？
簡單說，就是失業。台灣既然被中國統過去了，台灣的軍隊還為誰而戰？當...",<generator object <genexpr> at 0x11887e480>,Liberal Times
錢進中國 倒打台灣,https://news.ltn.com.tw/news/opinion/paper/552122,"來反感，這次中國「以商圍政」，穿梭兩岸的紅頂商人在馬總統選情告急時，紛紛跳出力挺九二共識及馬英九。 
富士康工廠連續發生十多起跳樓自殺事件遭大陸網友諷為「血汗工廠」，董事長郭台銘於選舉時搭乘私人專機趕...",<generator object <genexpr> at 0x11887e4f8>,Liberal Times
《母雞帶小雞》馬營顧自己 選將靠自己,https://news.ltn.com.tw/news/politics/paper/552116,，因此聯合競選，特別是藉總統候選人拉抬立委選情，是選戰重要策略之一。但在國民黨，總統候選人馬英九因施政滿意度低迷，選戰開打至今，卻是和立委候選人出現各自登山的局面，特別是馬陣營「顧自己」、總統連任最優先...,<generator object <genexpr> at 0x11887e570>,Liberal Times
中市立委電視政見會 爆洩題爭議,https://news.ltn.com.tw/news/politics/paper/552112,提出有關兩岸關係的問題，民進黨候選人張廖萬堅表示，不能為了經濟而犧牲台灣主權；蔡錦隆則大談馬英九政績，指兩岸和平才是人民的福氣。最後一個發表的綠黨候選人蔡智豪說了一句「我支持兩岸和平」後即質疑，為何蔡錦...,<generator object <genexpr> at 0x11887e5e8>,Liberal Times
吞633跳票大餐 台聯今晚凱道辦桌,https://news.ltn.com.tw/news/politics/paper/552110,"直湧入購票，令人感動。
台聯今晚也邀請名嘴謝志偉、黃越綏、徐永明、汪笨湖等人站台，共同向馬英九嗆聲「六三三跳票」。...",<generator object <genexpr> at 0x11887e660>,Liberal Times
政見會最終回 蔡馬宋今晚再交鋒,https://news.ltn.com.tw/news/politics/paper/552105,、蘇永耀、施曉光／台北報導〕中選會舉辦的最後一場總統候選人政見會今晚八點登場，由中視轉播。馬英九將繼續宣揚政績，強調國際經濟情勢因應能力；蔡英文基調維持「給台灣一個改變的機會」，並繼續質疑國安情蒐；宋楚...,<generator object <genexpr> at 0x11887e6d8>,Liberal Times
馬嘉南掃街 車隊浩蕩 民眾冷淡,https://news.ltn.com.tw/news/politics/paper/552104,〔記者林宜樟、吳世聰、林孟婷、楊金城／綜合報導〕總統馬英九昨南下嘉南地區以車隊掃街拜票，由於天冷又下雨，民眾反應冷清，維安交管警力比支持者還多；更有商家表示，掃街車隊開得那麼快，一下子就過去，連人也看不...,<generator object <genexpr> at 0x11887e750>,Liberal Times
蔡︰馬、財團與中國聯手 迫台灣人民接受九二共識,https://news.ltn.com.tw/news/politics/paper/552103,陳璟民／綜合報導〕民進黨總統候選人蔡英文昨晚在新竹市造勢晚會表示，最近很多大財團站出來支持馬英九連任，說這樣台灣才會安定，但是馬總統和中國、財團站在一起，一起壓迫台灣人民接受九二共識，這才是台灣不安定的...,<generator object <genexpr> at 0x11887e7c8>,Liberal Times
化憤怒為選票！,https://news.ltn.com.tw/news/opinion/paper/552082,"國安會，涉嫌運用調查局濫權情蒐監控在野黨總統候選人蔡英文，調查局監控估票表曝光，證據俱在，馬英九、吳敦義竟說是栽贓。睜眼說瞎話，企圖卸責！
台灣人，你怎能不憤怒？調查局被控從民進黨總統初選，就監控蔡英...",<generator object <genexpr> at 0x11887e840>,Liberal Times
藍組抓鬼大隊 綠譏作賊喊抓賊,https://news.ltn.com.tw/news/local/paper/552075,是「是打人喊救人，作賊喊抓賊！」立委田秋堇、競選總幹事江聰淵說，真的是啼笑皆非、笑掉大牙，馬英九擔任國民黨主席以來，有五十五名黨員涉嫌賄選被判刑，卻突然高喊要抓賄選，是不是要掩人耳目？引人質疑，如果要抓...,<generator object <genexpr> at 0x11887e8b8>,Liberal Times
蔣孝嚴金門輔選 烈嶼鄉長要求「小小三通」,https://news.ltn.com.tw/news/local/paper/552074,"昨天抵金門拜票，為立委候選人楊應雄造勢，他強調，金門沒有分裂投票的問題，唯一支持者就是總統馬英九、立委楊應雄。
離島烈嶼鄉（俗稱小金門）鄉長洪成發建議，小金門應比照大金門實施「小小三通」，直接與廈門通...",<generator object <genexpr> at 0x11887e930>,Liberal Times
東勢拉票 江啟臣攬功 郭俊銘砲轟,https://news.ltn.com.tw/news/local/paper/552055,"公路增加中午通車時段，還強調是他「居中協商」；民進黨候選人郭俊銘抨擊國民黨文宣搞烏龍，再給馬英九當一任總統，也無法完成國道四號延伸東勢案。
本月三日國民黨副總統候選人吳敦義造訪東勢，副市長徐中雄就說，...",<generator object <genexpr> at 0x11887e9a8>,Liberal Times
政見交鋒 藍將端政績 綠批多跳票,https://news.ltn.com.tw/news/local/paper/552053,鑫將炮火對準尋求連任的馬文君，指其台中捷運延伸到草屯、草屯與中興新村都市計畫結合等政見，與馬英九一樣都跳票；其次問政次數少，被公民監督聯盟評選為待觀察的立委名單，惟有消除家族政治、職業政客，南投縣才能升...,<generator object <genexpr> at 0x11887ea20>,Liberal Times
